job_id,job_title,company_name,job_location,skill_area,Python,R,SQL,Java,SAS,JavaScript,MATLAB,C++,Scala,Machine Learning,Statistics,Predict,Modeling,Data Cleaning,Data Mining,Hypothesis or A/B Testing,Bayesian Inference,Linear or Logistic Regression,Logistic Regression,Random Forest,Support Vector Machines (SVM),Clustering,K-Means,ARIMA,Time Series Analysis,Cross-validation,ROC/AUC,Confusion Matrix,Neural Networks,Tableau,Power BI,Matplotlib,Seaborn,Looker,Python Dashboards,Metabase,Big Data,Hadoop,Apache Spark,Kafka,AWS,Azure,Google Cloud Platform,Snowflake,Redshift,Google BigQuery,Microsoft SQL Server,Data Wrangling,ETL,Apache NiFi,Talend,AWS Lambda,Docker,Kubernetes,CI/CD,Jenkins,CircleCI,Pandas,NumPy,TensorFlow,Keras,PyTorch,Scikit-learn,Flask,FastAPI,BeautifulSoup,Scrapy,Selenium,NLP,spaCy,NLTK,RESTful APIs,Web Scraping,Git,GitHub,GitLab,Data Imputation,Feature Engineering,Data Pipelines,Jupyter Notebooks,Communication,Technical Communication,Team Work,Project Management,Stakeholder Management,People Management
4035258239,Business Data Analyst,Genpact,"Toronto, Ontario, Canada",Programming Languages,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3847778634,Data Analyst,Stripe,"Toronto, Ontario, Canada",Programming Languages,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4033714710,Insights Analyst,ICUC,"Toronto, Ontario, Canada",Programming Languages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4004386818,Marketing Data Analyst,LatentView Analytics,"Toronto, Ontario, Canada",Programming Languages,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4030622030,Data Analyst Intern,Ericsson,"Toronto, Ontario, Canada",Programming Languages,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4035094646,"Business Intelligence Analyst, gTech Analytics, Platforms and Tools",Google,"Toronto, Ontario, Canada",Programming Languages,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4021673984,"Associate, Data Analyst, New Grad 2025",Capital One,"Toronto, Ontario, Canada",Programming Languages,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4033196315,Business Data Analyst,Tarion,"Toronto, Ontario, Canada",Programming Languages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4029854136,Data Analyst (5 month contract),Rakuten Kobo Inc.,"Toronto, Ontario, Canada",Programming Languages,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4022482962,Data Analyst Intern (Remote) - Waterloo Winter 2025,Super.com,"Toronto, Ontario, Canada",Programming Languages,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
